provider_name,eik,municipality,settlement,address,social_service,target_group,license_number,license_validity,license_modified_number,license_modified_validity,license_renewed_number,license_renewed_validity,violations
"РОМСКА ФОНДАЦИЯ ""ИСКРА""",127032952,Шумен,гр. Шумен,"ул. ""Ген. Скобелев"" № 95",Общностна работа; Застъпничество и посредничество; Обучение за придобиване на умения; Информиране и консултиране; Терапия и рехабилитация,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; лица, които полагат грижи за пълнолетни лица; техните семейства и близки",Л-3129-1029/07.01.2022 г.; Л-3129-1030/07.01.2022 г.; Л-3129-1031/07.01.2022 г.; Л-3129-1032/07.01.2022 г.; Л-3129-1033/07.01.2022 г.,06.01.2027 г.,,,,,
"СДРУЖЕНИЕ ""ДУХОВНО ОГЛЕДАЛО""",121708911,Столична,гр. София,"район ""Изгрев"", ул. ""Никола Габровски"" № 1, комплекс ""Диана 1"", ет. 14",Обучение за придобиване на умения,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; деца с увреждания (белодробни и алергични здравословни проблеми); родители, осиновители и лица, полагащи грижа за деца",Л-3129-1035/07.01.2022 г.,06.01.2027 г.,,,,,
"""ИВМЕДИКА"" ЕООД",201839377,Стара Загора,гр. Стара Загора,"ул. ""Васил Левски"" № 13, ет. 1, ап. 2",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1036/07.01.2022 г.,06.01.2027 г.,,,,,
"""АТАМАРА"" ЕООД",204741034,Божурище,гр. Божурище,"ул. ""Любен Каравелов"" № 40",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1037/07.01.2022 г.,06.01.2027 г.,,,,,
"""СВЕТА БОГОРОДИЦА - АНТОАНЕТА ГЕНОВА"" ООД",201280265,Стара Загора,гр. Стара Загора,"ж.к. ""Трите чучура - север"", бл. 64, вх. А, ет. 5, ап. 33",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1038/07.01.2022 г.,06.01.2027 г.,,,,,"АКД-24/17.06.2025; С-АНП-15/08.07.2025 - чл. 85, ал. 1 от ЗСУ - предоставя социална услуга без сключен договор; АКД-23/17.06.2025; С-АНП-14/08.07.2025 - чл. 9, ал. 1 от ЗСУ - нарушени права на потребителите"
"""ДЕСПА - 2008"" ЕООД",200099041,Родопи,с. Първенец,"ул. ""Шипка"" № 6 А",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1039/21.01.2022 г.,20.01.2027 г.,,,,,"АКД-15/03.06.2025 ; С-АНП-11/25.06.2025 - чл. 31, ал. 1 и ал. 2 от ЗСУ - предоставяне на социална услуга, за която дружеството няма издаден лиценз"
"""ВАН - 21 ВЕК"" ООД",202651022,Нова Загора,с. Каменово,,Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1043/24.01.2022 г.,23.01.2027 г.,,,,,
"ФОНДАЦИЯ ""СВЕТИ МИНА""",123682625,Стара Загора,гр. Стара Загора,"ул. ""Ген. Столетов"" № 49, вх. Б, ап. 63",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1044/24.01.2022 г.,23.01.2027 г.,,,,,
"""ОВЧАРОВСКИ ПЛАЖ"" АД",124092168,Балчик,гр. Балчик,"Вилна зона ""Овчаровски плаж"", ул. ""20-та"" № 2",Резидентна грижа,Възрастни хора в надтрудоспособна възраст в невъзможност за самообслужване,Л-3129-1046/25.01.2022 г.,24.01.2027 г.,,,,,
НОВ БЪЛГАРСКИ УНИВЕРСИТЕТ,000677803,Столична,гр. София,"ул. ""Монтевидео"" № 21",Терапия и рехабилитация,Всички деца,Л-3129-1048/25.01.2022 г.,24.01.2027 г.,,,,,
"СДРУЖЕНИЕ ""ОПЕРАЦИЯ: ПЛЮШЕНО МЕЧЕ""",177022106,Столична,гр. София,"район Средец, пл. ""Славейков"" № 1, вх. В ет. 4",Обучение за придобиване на умения; Застъпничество и посредничество; Информиране и консултиране,"Деца по смисъла на Закона за закрила на детето и младежи до 25-годишна възраст, напуснали алтернативна грижа",Л-3129-1050/25.01.2022 г.; Л-3129-1051/25.01.2022 г.; Л-3129-1052/25.01.2022 г.,24.01.2027 г.,,,,,
"ЕТ ""МАЯ - КОСТАДИНКА ПАЧЕВА""",112119262,Септември,с. Виноградец,"ул. ""Първа"" № 67",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1054/26.01.2022 г.,25.01.2027 г.,,,,,
"""ДОМАШНИ ГРИЖИ ДИЯ-БУРГАС"" ЕООД",202986615,Бургас,гр. Бургас,"ж.к. Меден рудник, бл.11, вх. 6, ет. 2, ап. 3",Асистентска подкрепа,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат определена по съответния ред степен на намалена работоспособност; пълнолетни лица с трайни увреждания с определена чужда помощ, които не позват асистентска подкрепа, помощ за осигуряване на асистентска подкрепа или за които не се получава помощ за грижа в домашна среда по реда на друг закон",Л-3129-1055/26.01.2022 г.,25.01.2027 г.,,,,,
"СДРУЖЕНИЕ ""2002 НАДЕЖДИ""",112583024,Пазарджик,гр. Пазарджик,"ул. ""Пейо Яворов"" № 10",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1057/26.01.2022 г.,25.01.2027 г.,,,,,
"ФОНДАЦИЯ ""ВОДЕН ПЪТ""",131172942,Столична,гр. София,"р-н ""Красна поляна"", ж.к. ""Разсадника"", бл. 87, вх. 8, ет. 7, ап. 26",Терапия и рехабилитация,"Деца с увреждания, техните семейства и близки",Л-3129-1058/27.01.2022 г.,26.01.2027 г.,,,,,
"""Р и А 2009"" ООД",200794726,Лясковец,с. Драгижево,,Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1059/28.01.2022 г.,27.01.2027 г.,,,,,
"СДРУЖЕНИЕ ""БЪЛГАРИЯ ВИТА""",124687408,Добрич,гр. Добрич,"ул. ""Дора Габе"" № 3",Асистентска подкрепа,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат определена по съответния ред степен на намалена работоспособност; пълнолетни лица с трайни увреждания с определена чужда помощ, които не позват асистентска подкрепа, помощ за осигуряване на асистентска подкрепа или за които не се получава помощ за грижа в домашна среда по реда на друг закон",Л-3129-1060/28.01.2022 г.,27.01.2027 г.,ЛПО-1-3129-1060/11.04.2025 г.,27.01.2027 г.,,,
"""РОЯ 07"" ООД",203333581,Столична,гр. София,"кв. ""Горна баня"", ул. ""Урал"" № 1 Б",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1061/28.01.2022 г.,27.01.2027 г.,,,,,
"""ЧАМОВА"" ЕООД",201587296,Стара Загора,гр. Стара Загора,"кв. ""Железник"", ул. ""Загорка"" № 37, вх. А, ет. 7, ап. 28",Резидентна грижа; Терапия и рехабилитация,Възрастни хора в надтрудоспособна възраст в невъзможност за самообслужване,Л-3129-1075/02.02.2022 г.; Л-3129-1076/02.02.2022 г.,01.02.2027 г.,,,,,
"СДРУЖЕНИЕ ""КАРИТАС - СОФИЯ""",831189628,Столична,гр. София,"р-н ""Красна поляна"", ж.к. ""Илинден"", бул. Александър Стамболийски"" № 190, бл. 55, вх. В, ет. 1, ап. 47",Дневна грижа; Застъпничество и посредничество; Информиране и консултиране; Терапия и рехабилитация; Подкрепа за придобиване на трудови умения; Общностна работа; Обучение за придобиване на умения,Пълнолетни лица с трайни увреждания,Л-3129-1077/02.02.2022 г.; Л-3129-1078/02.02.2022 г.; Л-3129-1079/02.02.2022 г.; Л-3129-1080/02.02.2022 г.; Л-3129-1081/02.02.2022 г.; Л-3129-1082/02.02.2022 г.; Л-3129-1083/02.02.2022 г.,01.02.2027 г.,,,,,
"ФОНДАЦИЯ ""ВИЕ СТЕ ЧАСТ ОТ НАС""",205086756,Кюстендил,гр. Кюстендил,"ул. ""Митко Палаузов"" № 3",Подкрепа за придобиване на трудови умения,"Деца с трайни увреждания, навършили 16-годишна възраст, и пълнолетни лица с трайни увреждания",Л-3129-1084/02.02.2022 г.,01.02.2027 г.,,,,,
"СДРУЖЕНИЕ ""ФЕДЕРАЦИЯ АДАПТИРАНА ФИЗИЧЕСКА АКТИВНОСТ БЪЛГАРИЯ""",176951649,Столична,гр. София,"р-н ""Сердика"", ул. ""Мара Бунева"" № 45",Дневна грижа; Терапия и рехабилитация; Информиране и консултиране; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения,Деца и пълнолетни лица с трайни увреждания,Л-3129-1085/02.02.2022 г.; Л-3129-1086/02.02.2022 г.; Л-3129-1253/19.07.2022 г.; Л-3129-1254/19.07.2022 г.; Л-3129-1255/19.07.2022 г.,01.02.2027 г.,,,,,
"СДРУЖЕНИЕ ""НАЦИОНАЛНА ОРГАНИЗАЦИЯ ""МАЛКИ БЪЛГАРСКИ ХОРА""",121112644,Столична,гр. София,"р-н ""Средец"", ул. ""Ангел Кънчев"" № 2",Обучение за придобиване на умения; Общностна работа; Подкрепа за придобиване на трудови умения; Терапия и рехабилитация; Информиране и консултиране,"Деца и пълнолетни лица с увреждания, с приоритет нисък ръст; лица в невъзможност за самообслужване; уязвими общности или групи (деца и пълнолетни лица в риск от социално изключване); техните семейства и близки",Л-3129-1087/02.02.2022 г.; Л-3129-1088/02.02.2022 г.; Л-3129-1089/02.02.2022 г.; Л-3129-1090/02.02.2022 г.; Л-3129-1117/08.02.2022 г.,01.02.2027 г.,,,,,
"""ДОМ СЛЪНЦЕ"" ЕООД",175083580,Столична,гр. София,"район ""Овча купел"", кв. ""Горна баня"", ул. ""Велик завет"" № 21",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1095/04.02.2022 г.,03.01.2027 г.,ЛПО-1-3129-1095/10.06.2025 г.,03.01.2027 г.,,,
"ФОНДАЦИЯ ""ЗАЩИТЕНО ЖИЛИЩЕ ЗАЕДНО""",175121344,Столична,гр. София,"р-н ""Красно село"", ж.к. ""Крива река"", бул. ""Ген. Тотлебен"" № 63",Застъпничество и посредничество; Информиране и консултиране,Младежи до 25-годишна възраст,Л-3129-1437/31.01.2023 г.; Л-3129-1438/31.01.2023 г.,30.01.2028 г.,,,,,
"ФОНДАЦИЯ ""БУЛГАРИ""",176949915,Столична,гр. София,"р-н ""Красна поляна"", бул. ""Горнобански път"", бл. между бл. 29 и бл. 31А, ет. 2",Обучение за придобиване на умения; Терапия и рехабилитация; Информиране и консултиране,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; деца и пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за предоляване на последици от такава ситуация; възрастни хора в надтрудоспособна възраст; лица, които полагат грижи за пълнолетни лица",Л-3129-1097/04.02.2022 г.; Л-3129-1098/04.02.2022 г.; Л-3129-1329/17.11.2022 г.,03.02.2027 г.,,,,,
"""ИЛИЕВИ Ю ЕС БИ"" ЕООД",200400815,Варна,гр. Варна,"ул. ""Христо Самсаров"" № 29",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1099/04.02.2022 г.,03.02.2027 г.,,,,,
"""СОЦИАЛЕН ДОМ ДОБРЕВЦИ"" ЕООД",202491500,Ябланица,с. Добревци,"ул. ""Здравец"" № 12",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1108/08.02.2022 г.,07.02.2027 г.,,,,,
"""САНУС ЛАЙФ"" ЕООД",200070987,Столична,гр. София,"район ""Красно село"", бул. ""Акад. Иван Евстатиев Гешов"" № 50, ет. 1, офис 4",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1118/09.02.2022 г.; Л-3129-2156/29.10.2025 г.,08.02.2027 г.,,,,,
"""ДИМИВА 2011"" ООД",205384083,Столична,гр. София,"район Искър, ж.к. ""Дружба"", бл. 305, вх. А, ет. 7, ап. 20",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1119/11.02.2022 г.,10.02.2027 г.,,,,,
"""ДОМ ЗАЕДНО"" ЕООД",203036021,Столична,гр. София,"район ""Възраждане"", бул. ""Константин Величков"" № 157-159, ет. 1, офис 3",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1121/15.02.2022 г.; Л-3129-2053/29.01.2025 г.,14.02.2027 г.,,,,,
"ФОНДАЦИЯ ""ЗАЩИТА ПРАВАТА НА ДЕЦАТА""",177013260,Столична,гр. София,"р-н ""Изгрев"", ж.к. ""Дианабад"", бл. 32, вх. А, ет. 8, ап. 23",Обучение за придобиване на умения; Застъпничество и посредничество; Общностна работа; Информиране и консултиране,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; семействата и близките на потребителите",Л-3129-1122/21.02.2022 г.; Л-3129-1123/21.02.2022 г.; Л-3129-1124/21.02.2022 г.; Л-3129-1125/21.02.2022 г.,20.02.2027 г.,,,,,
"СДРУЖЕНИЕ ""ОБРАЗОВАТЕЛНА ПАЛИТРА""",175761180,Русе,гр. Русе,"ул. ""Слави Шкаров"" № 4, вх. В, ет. 6, ап. 18",Общностна работа; Информиране и консултиране; Обучение за придобиване на умения,"Всички деца; деца и пълнолетни лица с увреждания; възрастни хора в надтрудоспособна възраст; лица, които полагат грижи за пълнолетни лица; деца и пълнолетни лица от уязвими общности или групи; техните семейства и близки",Л-3129-1126/22.02.2022 г.; Л-3129-1127/22.02.2022 г.; Л-3129-1128/22.02.2022 г.,21.02.2027 г.,,,,,
"НАРОДНО ЧИТАЛИЩЕ ""ПРОСВЕТА-1910""",000962866,Тунджа,с. Тенево,"ул. ""Г. Димитров"" № 27",Общностна работа,Всички деца от уязвими общности или групи; техните семейства и близки,Л-3129-1129/23.02.2022 г.,22.02.2027 г.,,,,,
"ФОНДАЦИЯ ""БЪЛГАРСКО ДЕТЕ""",130488972,Столична,гр. София,"р-н ""Оборище"", ул. ""Тракия"" № 15, ет. 3, ап. офис 4",Терапия и рехабилитация; Обучение за придобиване на умения; Информиране и консултиране; Резидентна грижа,"Младежи до 25-годишна възраст, напуснали алтернативна грижа; пълнолетни лица от уязвими общности или групи; техните семейства и близки",Л-3129-1130/25.02.2022 г.; Л-3129-1131/25.02.2022 г.; Л-3129-1132/25.02.2022 г.; Л-3129-1133/25.02.2022 г.,24.02.2027 г.,ЛПО-1-3129-1130/05.05.2022 г.,24.02.2027 г.,,,
"""СИМ КОНСУЛТИНГ"" ЕООД",175273170,Столична,гр. София,"ж.к. ""Лозенец"", ул. ""Света гора"" № 42, ап. 14",Информиране и консултиране; Обучение за придобиване на умения,"Пълнолетни лица; пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; възрастни хора в надтрудоспособна възраст; лица, които полагат грижи за пълнолетни лица; техните семейства и близки",Л-3129-1134/25.02.2022 г.; Л-3129-1135/25.02.2022 г.,24.02.2027 г.,,,,,
"""ГРАНДПЕРАНС БЪЛГАРИЯ"" ЕООД",203750297,Шумен,гр. Шумен,"ул. ""Охрид"" № 24, ет. 2, ап. 3",Асистентска подкрепа,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат определена по съответния ред степен на намалена работоспособност",Л-3129-1136/28.02.2022 г.,27.02.2027 г.,,,,,
"ФОНДАЦИЯ ""ДЪЛГОЛЕТИЕ - СВЕТИ МИНА""",177033626,Столична,гр. София,"р-н ""Витоша"", кв. ""Бояна"", ул. ""Кумата"" № 23",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1137/01.03.2022 г.,28.02.2027 г.,,,,,
"ФОНДАЦИЯ ""ЗА ЩАСТЛИВО ДЕТСТВО""",205481326,Тунджа,с. Могила,"ул. ""Възраждане"" № 21",Информиране и консултиране; Обучение за придобиване на умения; Общностна работа; Застъпничество и посредничество; Асистентска подкрепа,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; деца и пълнолетни лица с увреждания; възрастни хора в надтрудоспособна възраст; лица, които полагат грижи за пълнолетни лица",Л-3129-1138/04.03.2022 г.; Л-3129-1185/19.04.2022 г.; Л-3129-1335/06.12.2022 г.; Л-3129-1336/06.12.2022 г.; Л-3129-1337/06.12.2022 г.,03.03.2027 г.,,,,,
"""ПЕРФЕКТНИ"" ЕООД",202102689,Костенец,гр. Момин проход,"ул. ""Радост"" № 19, бл. ДВХ ""Вила Швейцария""",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1142/07.03.2022 г.,06.03.2027 г.,ЛПО-1-3129-1142/27.05.2025 г.,06.03.2027 г.,,,
"ФОНДАЦИЯ ""ФОНДАЦИЯ ЗА МЕДИКО-СОЦИАЛНА ДЕЙНОСТ ЗОДИАК""",205645238,Столична,гр. Банкя,"ул. ""Стефан Стамболов"" № 9-11",Резидентна грижа,Пълнолетни лица с деменция,Л-3129-1143/07.03.2022 г.,06.03.2027 г.,,,,,"АКД-52/30.09.2025; С-АНП-31/ 10.10.2025 - чл. 134, ал. 3 от ЗСУ, допуснато интегрирано предоставяне на отделни социални услуги за резидента грижа в обща специализирана среда; АКД-51/30.09.2025 ; С-АНП-30/10.10.2025- чл. 9, ал. 1 от ЗСУ - нарушени права на потребителите;"
"""ТРАКАТА МЕД"" ООД",204305553,Столична,гр. София,"р-н Красна поляна, ж.к. ""Разсадника-Коньовица"", бл. 20, вх. Б",Терапия и рехабилитация; Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1145/14.03.2022 г.; Л-3129-1146/14.03.2022 г.,13.03.2027 г.,,,,,
"СДРУЖЕНИЕ ""ЦЕНТЪР ЗА ПОДКРЕПА НА СОЦИАЛНАТА ИНТЕГРАЦИЯ - ПРИОРИТЕТИ""",131043417,Столична,гр.София,"ул. ""Иван Асен II"" № 36",Информиране и консултиране; Обучение за придобиване на умения,Пълнолетни лица с увреждания; техните семейства и близки,Л-3129-1147/15.03.2022 г.; Л-3129-1148/15.03.2022 г.,14.03.2027 г.,,,,,
"ФОНДАЦИЯ ""ДЕЧИЦА""",175841858,Столична,гр. София,"р-н Триадица, бул. ""П. Ю. Тодоров"", бл. 3, вх. Е, ет. 2, ап. 99",Обучение за придобиване на умения,"Деца в риск по смисъла на Закона за закрила на детето; младежи до 25-годишна възраст, потребители на резидентна грижа",Л-3129-1150/17.03.2022 г.,16.03.2027 г.,,,,,
"СДРУЖЕНИЕ ""ЮГОЗАПАДНА ИНИЦИАТИВА ЗА ДОСТОЙНО БЪДЕЩЕ""",101785868,Благоевград,гр. Благоевград,"ул. ""Св. Св. Кирил и Методий"" № 16, вх. Б, ап. 3",Резидентна грижа; Застъпничество и посредничество; Терапия и рехабилитация; Информиране и консултиране,Пълнолетни лица с психични разстройства,Л-3129-1151/21.03.2022 г.; Л-3129-1568/24.04.2023 г.; Л-3129-1569/24.04.2023 г.; Л-3129-1570/24.04.2023 г.,20.03.2027 г.,,,,,
"""РЕЗИДЕНЦИЯ ЗА ВЪЗРАСТНИ СЕРДИКА"" ЕООД",131341381,Столична,гр. София,"р-н ""Оборище"", бул. ""Княз Дондуков"" № 115 А, ет. 3, ап. 18",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1152/21.03.2022 г.; Л-3129-1665/13.07.2023 г.,20.03.2027 г.,,,,,
"СДРУЖЕНИЕ ""БЪЛГАРСКА ХЪНТИНГТЪН АСОЦИАЦИЯ""",176658639,Столична,гр. София,"р-н ""Красно село"", ж.к. ""Красно село"", бл. 198, вх. 1, ет. 6, ап. 23",Терапия и рехабилитация; Подкрепа за придобиване на трудови умения; Информиране и консултиране; Застъпничество и посредничество; Общностна работа; Обучение за придобиване на умения,Пълнолетни лица с трайни увреждания (с приоритет редки заболявания); техните семейства и близки,Л-3129-1153/23.03.2022 г.; Л-3129-1226/13.06.2022 г.; Л-3129-1227/13.06.2022 г.; Л-3129-1830/26.02.2024 г.; Л-3129-1831/26.02.2024 г.; Л-3129-1890/08.05.2024 г.,22.03.2027 г.,,,,,
"""ДЖИ ПРИМ"" ЕООД",203080690,Столична,гр. София,"р-н Красно село, ул. ""Нишава"" № 50, ет. 5, ап. 8",Асистентска подкрепа,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат определена по съответния ред степен на намалена работоспособност",Л-3129-1154/24.03.2022 г.,23.03.2027 г.,,,,,
"СДРУЖЕНИЕ ""ЦЕНТЪР ЗА СЪЗИДАТЕЛНО ПРАВОСЪДИЕ""",116019267,Разград,гр. Разград,"ж.к. ""Освобождение"", бл. 34, ет. 1",Застъпничество и посредничество; Информиране и консултиране; Общностна работа; Осигуряване на подслон; Терапия и рехабилитация; Обучение за придобиване на умения,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; деца с увреждания; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; техните семейства и близки",Л-3129-1155/25.03.2022 г.; Л-3129-1156/25.03.2022 г.; Л-3129-1157/25.03.2022 г.; Л-3129-1158/25.03.2022 г.; Л-3129-2088/27.05.2025 г.; Л-3129-2095/04.06.2025 г.; Л-3129-2096/04.06.2025 г.,24.03.2027 г.,,,,,
"""ЕЛЕКТРОНИНВЕСТ ГРУП"" ЕООД",131012222,Столична,гр.София,"р-н ""Възраждане"", ул. ""Княз Борис I"" № 162",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1159/29.03.2022 г.,28.03.2027 г.,,,,,
"""ТЕРАПИ.БГ"" ЕООД",206795874,Столична,гр. София,"р-н ""Средец"", ул. ""Янтра"" № 11, ет. 3",Информиране и консултиране; Терапия и рехабилитация,Всички деца; деца в риск по смисъла на Закона за закрила на детето; деца с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; техните семейства и близки,Л-3129-1162/31.03.2022 г.; Л-3129-1163/31.03.2022 г.,30.03.2027 г.,,,,,
"СДРУЖЕНИЕ ""ЦЕНТЪР ЗА ПОДКРЕПА НА ЖЕНИ - С. СТРАЖЕЦ""",116561057,Разград,с. Стражец,"ул. ""Москва"" № 26",Осигуряване на подслон,Пълнолетни лица и техните деца в кризисна ситуация или с потребност от преодоляване на последици от такава ситуация,Л-3129-1166/04.04.2022 г.,03.04.2027 г.,,,,,
"СДРУЖЕНИЕ ""АБЛАНИЦА""",176548783,Трън,с. Филиповци,,Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1170/08.04.2022 г.,07.04.2027 г.,,,,,"АКД-9/14.06.2022 г. С-АНП-2/21.06.2022- чл. 134, ал. 3 от ЗСУ - допуснато интегрирано предоставяне на отделни социални услуги за резидента грижа в обща специализирана среда"
"""СЛЪНЧЕВ ДОМ-М"" ЕООД",203396293,Столична,гр. Банкя,"ул. ""Некрасов"" № 13",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1179/11.04.2022 г.,10.04.2027 г.,,,,,
"""БОЖИДАР 2018"" ООД",205140346,Гълъбово,гр. Гълъбово,"ул. Ал. Стамболийски"" № 36",Резидентна грижа,Пълнолетни лица с психични разстройства,Л-3129-1191/28.04.2022 г.,27.04.2027 г.,,,,,
"""РИЛКА АТАНАСОВА"" ЕООД",205131913,Плевен,гр. Плевен,"ул. ""Иван Данов"" № 10, вх. А, ет. 1, ап. 1",Резидентна грижа; Терапия и рехабилитация,Пълнолетни лица с психични разстройства,Л-3129-1183/15.04.2022 г.; Л-3129-1184/15.04.2022 г.,14.04.2027 г.,,,,,"АКД-32/25.06.2025; С-АНП-21/21.07.2025 - чл. 134, ал. 3 от ЗСУ - допуснато интегрирано предоставяне на отделни социални услуги за резидента грижа в обща специализирана среда"
"СДРУЖЕНИЕ ""СОЦИАЛНИ И ЕКОЛОГИЧНИ ИНИЦИАТИВИ ЗА ОБЩИНА СЛИВНИЦА""",177058017,Сливница,гр. Сливница,"ул. ""Паисий Хилендарски"" № 88",Дневна грижа; Информиране и консултиране; Терапия и рехабилитация; Обучение за придобиване на умения; Застъпничество и посредничество,Деца с трайни увреждания,Л-3129-1187/21.04.2022 г.; Л-3129-1221/02.06.2022 г.; Л-3129-1222/02.06.2022 г.; Л-3129-1223/02.06.2022 г.; Л-3129-1986/15.08.2024 г.,20.04.2027 г.,,,,,
"СДРУЖЕНИЕ ""ГРАЖДАНСКА ИНИЦИАТИВА ЗА РАЗВИТИЕ НА СЛИВНИЦА""",177057958,Сливница,гр. Сливница,"пл. ""Съединение"" № 3",Информиране и консултиране; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения; Застъпничество и посредничество; Общностна работа; Терапия и рехабилитация,Деца с увреждания; деца в риск по смисъла на Закона за закрила на детето; техните семейства и близки,Л-3129-1188/26.04.2022 г.; Л-3129-1189/26.04.2022 г.; Л-3129-1190/26.04.2022 г.; Л-3129-2043/23.01.2025 г.; Л-3129-2044/23.01.2025 г.; Л-3129-2045/23.01.2025 г.,25.04.2027 г.,,,,,
"СДРУЖЕНИЕ ""СДРУЖЕНИЕ ТИШИНА""",175284829,Столична,гр. София,"район ""Триадица"", ж.к. ""Стрелбище"", ул. ""Йордан Йовков"" № 13",Информиране и консултиране; Застъпничество и посредничество; Терапия и рехабилитация; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения; Общностна работа,Всички деца; деца в риск по смисъла на Закона за закрила на детето; деца и пълнолетни лица с увреждания (с приоритет увреден слух); техните семейства и близки,Л-3129-1192/28.04.2022 г.; Л-3129-1193/28.04.2022 г.; Л-3129-1194/28.04.2022 г.; Л-3129-1195/28.04.2022 г.; Л-3129-1196/28.04.2022 г.; Л-3129-1426/27.01.2023 г.,27.04.2027 г.,,,,,
"""ВЮРДИГЕС АЛТЕРН"" ЕООД",202697767,Варна,гр. Варна,"район Одесос, ул. ""Хъшове"" № 1",Асистентска подкрепа,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат определена по съответния ред степен на намалена работоспособност",Л-3129-1202/03.05.2022 г.,02.05.2027 г.,,,,,
"СДРУЖЕНИЕ ""ЗНАНИЕ УСПЕХ ПРОМЯНА""",109561480,Дупница,гр. Дупница,"пл. ""Свобода"" № 1",Информиране и консултиране,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; деца и пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; възрастни хора в надтрудоспособна възраст; лица, които полагат грижи за пълнолетни лица; техните семейства и близки",Л-3129-1204/11.05.2022 г.,10.05.2027 г.,,,,,
"""КАЛИВА-ВП"" ЕООД",204285901,Провадия,с. Черковна,"бул./ул. УПИ I-139, кв. 17",Асистентска подкрепа; Резидентна грижа,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат определена по съответния ред степен на намалена работоспособност",Л-3129-1205/12.05.2022 г.; Л-3129-1971/31.07.2024 г.,11.05.2027 г.,,,,,
